TXID,fee,output,removed,size,time
ed13fb28c88d55ee9498ca2a02e3d8834373d16d1a16e24c779d6facc42640a9,151834.0,8138166,1510264653.31,521,1510263421
faed02960c603f922ca500ec67f017e163dc1fd1319a18aa1e17951d77bf47c6,97813.0,27608884,1510262776.97,373,1510262595
b32099ecc167d5ee489e706381e23da950e3e30303c29192ae1007b02a70ca55,131913.0,2335032,1510265883.38,668,1510264138
8d6487385e122809a9eecc6e8ea04b734e22c2e590697aa205eb0dcdb4620761,71069.0,11365624279,1510263058.57,293,1510261744
37e7436b067271af35f89090c9a808df566e4619ec11da8c9c06c2039aa3b651,180642.0,1500000000,1510266190.01,965,1510264550
b05f4570d17ebc359ccfa0617db1458a3ce0b9d2e5f55f4cb372dc615a982c4b,17000.0,5983000,1510296746.74,170,1510266129
4b0ca2c07f4647f7f1e5e5db16f9ade0d0c422574cb795ed47d2c71bbc45b930,72260.0,281228524,1510262776.97,223,1510262543
5e7e05281ead55f55af94a0d48d913f78bace5119fabdab29c779037f176ff68,120000.0,0,1510265586.75,192,1510265469
62a8f7291f784795b190c63703978037f5c2656ff8d84206b9de5ff43fac91c5,64184.0,5767983,1510265883.38,226,1510265653
8830534b31baf8903c5ef6748786039839ffa7fad2d119ce2a4af24dc5d71d09,53568.0,2118432,1510267249.64,206,1510266487
427cc57657bf3cf17196be55ffe713f1d12d6fcbede1d62b1e209699abac8491,72909.0,651418,1510265883.38,225,1510265701
841e94f424ede6ea5bf841a9d4fd5f87b91d0bcc077e40e454ddd9f94363ea14,71583.0,7932267,1510267249.64,226,1510267198
e59177191154e6f9925634a2b46c6921a4828c8b193da4c392a97df706294ab5,72913.0,490000,1510267249.64,225,1510266841
739531cd04d79e61615f3685a05936abd20d45f5a733a406ed94767db30d5341,49379.0,27950621,1510267249.64,226,1510267103
16ff1190bc00f60c7362d11a9666be7fe8dcae603ccb74c95e00344d050e05a2,120000.0,0,1510265883.38,191,1510265593
be285bab64259acca10377a4e7f05505c58dd7fac19445e31f10b0631861bc24,40906.0,6912484,1510267729.73,226,1510264095
275f72af3d4036056c050163c8d8f6bfd278a07c0fa837ad75a6aec13c6466a0,20304.0,5979696,1510296746.74,206,1510266694
1ad0a93aea8880653c2c2dadea6c92d4f73aa1de648dd1deb6f05a6e279acd9e,72906.0,105856,1510262776.97,224,1510261802
a3f58bbdf641a3e52a68170f840f391ee30c8c414df8d5c926c22d980011479b,40906.0,43939094,1510265586.75,192,1510264130
d1ecad80098396d08beaaa76097a9fee1a9a3af4a6bf38edc86fe98ba484f2fa,72909.0,558643,1510264642.6,226,1510263381
7574cf4bb31b25e806b6ec46fcb74807c0fd4e903163555a3233532be93c54aa,53784.0,5074068,1510266190.01,208,1510265900
ca0dc3e3259286ec9b34bb637958697ab8ce160785253552b39f3dffda434c99,72915.0,140000,1510267249.64,225,1510267075
b013f088fe6a8febafa9e91465c531303755ba989d8cf0eef55fb847ac4c0d7f,44070.0,293223,1510266190.01,226,1510261928
c2ed37b07fab6cda4d186c5a42e7c69ecec8329f9fcb6e0d2916d10437fd3f99,141945.0,8950000,1510264653.31,486,1510263025
10f543c7972589474a872a4d09004cb64dbbb7fa81b246a2982be51bee3af37c,39476.0,12398024,1510267729.73,226,1510262616
cb3f465fa2e2d612af42d866453533e1fc638abf05f05833906163e53eff263c,61330.0,305979860,1510264653.31,216,1510263759
219063de9b0bd9ba82cc3b48982edafded53a1eb02f24baafd4557e4c6841c2c,66752.0,9933248,1510261766.56,224,1510261446
212a385862e28c482abfbc32bcf1a76b1e1a2dee735389dcd186f24b96cd3c48,67980.0,20011022,1510265586.75,225,1510265510
027fd7e4c61bf004f3046db821d0d678eaa8638f826f21719210c3f0cafc0607,73800.0,625000,1510264642.6,189,1510263625
e4f8a735f9d650c6f59dd5e14dd3d336787c77887931f4db2fad36bb26187d69,72320.0,140996467,1510264653.31,225,1510264506
cd6b2f8c219773c82706698f2b6b0637eaf655e9c850f11d87387d99245f9d15,64410.0,1180853,1510264653.31,225,1510263370
df30b8d864cae7f882044c83be2c655fe56b10f32f55be5aba5e745b921df5f9,18080.0,14398960,1510303993.71,226,1510262648
f25b4a58f6823210b1df7f7748771fd0f6431a1b8d158e143a12eb84b32c916a,110574.0,6265916,1510266190.01,355,1510266148
f8a1e3a354e29df32dca21772da89e758da1fcac1d48321924ad21c08ab03913,41358.0,1369694,1510265883.38,192,1510265652
ac83fce5992145cae224ec4a87d1faa5d81ac5aeb40b5eb2f5bcec8987d8bf3a,40680.0,1654439,1510266490.02,223,1510263851
84f33d9e64fece431ecd0cc3181d80c5860f91872bb4263cff07bc4739332857,72270.0,51719,1510267249.64,223,1510267009
53cdc0fee6f24241c5800b7dff647e7f081a8a4ae54db8397300f0877b061c03,72906.0,19827094,1510262776.97,226,1510262206
7c55e2d0294cc86167a868028e00345a357cf60dcb714f75c1460e986e3bc09a,72914.0,2435026,1510266490.02,226,1510266433
c17221c2f49fcaffce00e82fddfe8b5fcd08f149dc6b5d757bce1076436f0a00,72260.0,27195722,1510263058.57,223,1510262964
c93049b7d9bd05b419ad859f061e89d885500e90e29b9a55c45378abf94d71ff,72913.0,280000,1510267249.64,223,1510266822
accc16a2675f901f6f1d2e8e71229e4581eabbad5139d5080e60963a88cbeb45,773300.0,7137850,1510265883.38,3908,1510265672
a5b05cadbf56150b78f8cec616ca0935b8e5e17c5502f3a3bf62ff1face8fb33,40680.0,11447211,1510264653.31,226,1510263799
cc966816e29392740c87df9646e6d79fd8b4256f50f25d5bf69f6f6d1d8ed446,176162.0,2652838,1510265399.55,669,1510264908
c55dd5fc3d1ee8f7d0425ce566decbec85518a94919cb4708d1fddecbeb8b181,110836.0,377525,1510264653.31,370,1510263914
3996f80f5f020b17f57cd5eb2e2c8f301a96b6872a04fad8b71d6a99d75276a8,43353.0,23863192,1510266190.01,223,1510265128
a0bcf4988bf8b2a23126b811eca7d12f2130ced0998ca8383bd3f6c66c915077,328440.0,8180992,1510261766.56,928,1510261663
44daaf0f11ec0234c7fb7d92cf3d1622aeb27629f8fad603b048114affc8335d,72909.0,2163003,1510264642.6,225,1510263332
793b35ba3d89a89cddddd19df609c18e7729510e29b1b691d51c0202f81f6bf0,63280.0,626830294,1510262776.97,225,1510261850
33a1379249378c2cc259c56e143a525fd02d13c8e5458f2da3d372dc5f967d8f,39840.0,13960160,1510267833.89,255,1510263988
010b3dbbd6b37a8e0bc2428e56f7649c4bffb3bf366dd537da6b560625c10db2,104927.0,1385073,1510264653.31,371,1510263094
